"UID","location","Duration"
10071510,287,-1
10072074,252,0
10072074,328,-1
10072547,252,0
10072547,287,-1
10072548,252,0
10072548,287,-1
10073346,297,0
10073346,183,-1
10077666,328,0
10077666,117,-1
10079396,117,0
10079396,287,-1
10079602,115,0
10079602,287,-1
10080172,115,0
10080172,93,-1
10080437,116,0
10080437,309,-1
10081022,116,0
10081022,241,-1
10081023,116,0
10081023,241,-1
10088392,177,0
10088392,32,-1
10088398,177,0
10088398,531,-1
10092527,289,0
10092527,337,-1
10092985,289,0
10092985,313,-1
10101384,337,0
10101384,313,-1
10102255,106,0
10102255,291,-1
10103217,143,0
10103217,513,-1
10103633,143,0
10103633,531,-1
10103634,143,0
10103634,531,-1
10103635,143,0
10103635,531,-1
10103820,143,0
10103820,66,-1
10104004,143,0
10104004,32,-1
10104010,143,0
10104010,32,-1
10104096,143,0
10104096,178,-1
10104097,143,0
10104097,178,-1
10116014,91,0
10116014,290,-1
10116055,91,0
10116055,310,-1
10116056,91,0
10116056,310,-1
10116057,91,0
10116057,310,-1
10125237,143,0
10125237,291,-1
10135559,287,0
10135559,66,-1
10135560,287,0
10135560,66,-1
10093189,289,0
10093189,337,-1
10104649,143,0
10104649,531,-1
10104650,143,0
10104650,531,-1
10068323,238,0
10068323,483,-1
10068748,238,0
10068748,328,-1
10069647,238,0
10069647,32,-1
10071511,252,0
10071511,143,-1
10072181,252,0
10072181,328,-1
10072574,252,0
10072574,93,-1
10072575,252,0
10072575,93,-1
10079484,115,0
10079484,287,-1
10079824,115,0
10079824,68,-1
10080363,116,0
10080363,180,-1
10080364,116,0
10080364,180,-1
10083284,32,0
10083284,232,-1
10083306,32,0
10083306,287,-1
10083397,32,0
10083397,143,-1
10084014,32,0
10084014,287,-1
10102184,106,0
10102184,291,-1
10102185,106,0
10102185,291,-1
10071136,252,0
10071136,353,-1
10074220,158,0
10074220,513,-1
10082810,32,0
10082810,68,-1
10083120,32,0
10083120,287,-1
10070720,252,0
10070720,328,-1
10079501,115,0
10079501,252,-1
10080697,116,0
10080697,257,-1
10071353,252,0
10071353,287,-1
10075061,32,0
10075061,106,-1
10075062,32,0
10075062,106,-1
10101563,106,0
10101563,119,-1
10101564,106,0
10101564,119,-1
10067903,310,0
10067903,241,-1
10070941,252,0
10070941,106,-1
10071725,252,0
10071725,531,-1
10072451,252,0
10072451,105,-1
10072452,252,0
10072452,105,-1
10078492,314,0
10078492,328,-1
10092932,289,0
10092932,66,-1
10074037,158,0
10074037,337,-1
10074038,158,0
10074038,337,-1
10074039,158,0
10074039,337,-1
10078310,328,0
10078310,238,-1
10078311,328,0
10078311,238,-1
10105039,143,0
10105039,291,-1
10116052,287,0
10116052,238,-1
10071104,252,0
10071104,99,-1
10081265,116,0
10081265,513,-1
10082076,32,0
10082076,287,-1
10093955,289,0
10093955,252,-1
10093956,289,0
10093956,252,-1
10069804,252,0
10069804,93,-1
10071874,252,0
10071874,287,-1
10072364,252,0
10072364,146,-1
10072365,252,0
10072365,146,-1
10072438,252,0
10072438,287,-1
10072439,252,0
10072439,287,-1
10073143,252,0
10073143,287,-1
10073144,252,0
10073144,287,-1
10079516,115,0
10079516,162,-1
10080891,116,0
10080891,310,-1
10080892,116,0
10080892,310,-1
10083595,32,0
10083595,287,-1
10068439,238,0
10068439,309,-1
10069652,252,0
10069652,287,-1
10070909,252,0
10070909,232,-1
10072161,252,0
10072161,513,-1
10072162,252,0
10072162,513,-1
10076357,297,0
10076357,305,-1
10081165,116,0
10081165,513,-1
10082382,32,0
10082382,178,-1
10084149,32,0
10084149,309,-1
10088521,177,0
10088521,68,-1
10094220,289,0
10094220,337,-1
10101943,337,0
10101943,513,-1
10105373,143,0
10105373,32,-1
10069407,238,0
10069407,287,-1
10069408,238,0
10069408,287,-1
10082162,32,0
10082162,287,-1
10083329,32,0
10083329,66,-1
10101520,337,0
10101520,178,-1
10101521,337,0
10101521,178,-1
10104514,143,0
10104514,531,-1
10115708,91,0
10115708,287,-1
10067343,238,0
10067343,68,-1
10077600,328,0
10077600,106,-1
10081804,116,0
10081804,287,-1
10093888,289,0
10093888,287,-1
10088552,177,0
10088552,531,-1
10089024,241,0
10089024,456,-1
10068992,238,0
10068992,252,-1
10068993,238,0
10068993,252,-1
10068994,238,0
10068994,252,-1
10068995,238,0
10068995,252,-1
10082080,32,0
10082080,337,-1
10091953,289,0
10091953,291,-1
10102939,143,0
10102939,32,-1
10083437,32,0
10083437,143,-1
10083608,32,0
10083608,68,-1
10092337,289,0
10092337,32,-1
10105604,143,0
10105604,287,-1
10092619,289,0
10092619,309,-1
10092620,289,0
10092620,309,-1
10073299,252,0
10073299,112,-1
10077758,328,0
10077758,513,-1
10083339,32,0
10083339,143,-1
10070681,310,0
10070681,143,-1
10071138,252,0
10071138,68,-1
10077752,328,0
10077752,290,-1
10078003,328,0
10078003,162,-1
10082003,32,0
10082003,105,-1
10082004,32,0
10082004,105,-1
10083258,32,0
10083258,287,-1
10113811,143,0
10113811,290,-1
10116058,91,0
10116058,287,-1
10069539,238,0
10069539,93,-1
10070464,252,0
10070464,241,-1
10074505,305,0
10074505,313,-1
10083432,32,0
10083432,180,-1
10101417,337,0
10101417,162,-1
10103010,143,0
10103010,513,-1
10072447,252,0
10072447,146,-1
10072448,252,0
10072448,146,-1
10072929,252,0
10072929,513,-1
10074272,305,0
10074272,287,-1
10078457,314,0
10078457,287,-1
10079857,115,0
10079857,531,-1
10079858,115,0
10079858,531,-1
10079859,115,0
10079859,531,-1
10080409,116,0
10080409,180,-1
10081041,116,0
10081041,287,-1
10081299,116,0
10081299,531,-1
10081300,116,0
10081300,531,-1
10091846,289,0
10091846,105,-1
10105313,143,0
10105313,449,-1
10069043,238,0
10069043,105,-1
10069044,238,0
10069044,105,-1
10069113,238,0
10069113,241,-1
10069358,238,0
10069358,513,-1
10070848,252,0
10070848,232,-1
10071012,252,0
10071012,143,-1
10072196,252,0
10072196,287,-1
10072817,252,0
10072817,290,-1
10074076,158,0
10074076,93,-1
10074077,158,0
10074077,93,-1
10074078,158,0
10074078,93,-1
10074079,158,0
10074079,93,-1
10075899,297,0
10075899,287,-1
10077546,328,0
10077546,531,-1
10079688,115,0
10079688,353,-1
10080381,116,0
10080381,143,-1
10080520,116,0
10080520,310,-1
10080628,116,0
10080628,93,-1
10081277,116,0
10081277,310,-1
10081278,116,0
10081278,310,-1
10081747,116,0
10081747,449,-1
10083881,32,0
10083881,290,-1
10084071,32,0
10084071,287,-1
10091872,289,0
10091872,241,-1
10092041,289,0
10092041,287,-1
10092151,289,0
10092151,143,-1
10092152,289,0
10092152,143,-1
10093007,289,0
10093007,310,-1
10093008,289,0
10093008,310,-1
10094106,289,0
10094106,313,-1
10102173,337,0
10102173,257,-1
10102620,337,0
10102620,178,-1
10103001,143,0
10103001,287,-1
10068366,238,0
10068366,513,-1
10068387,238,0
10068387,310,-1
10070428,252,0
10070428,531,-1
10070429,252,0
10070429,531,-1
10073005,252,0
10073005,143,-1
10074813,305,0
10074813,287,-1
10078505,314,0
10078505,287,-1
10078506,314,0
10078506,287,-1
10079646,115,0
10079646,313,-1
10081196,116,0
10081196,66,-1
10081511,116,0
10081511,310,-1
10081512,116,0
10081512,310,-1
10081588,116,0
10081588,93,-1
10081631,116,0
10081631,146,-1
10088961,241,0
10088961,105,-1
10093308,289,0
10093308,291,-1
10093592,289,0
10093592,337,-1
10093593,289,0
10093593,337,-1
10097345,68,0
10097345,337,-1
10101692,337,0
10101692,262,-1
10102199,337,0
10102199,449,-1
10103164,143,0
10103164,146,-1
10105294,143,0
10105294,158,-1
10116158,91,0
10116158,513,-1
10116159,91,0
10116159,513,-1
10135812,287,0
10135812,162,-1
10135813,287,0
10135813,162,-1
10135814,287,0
10135814,162,-1
10139639,143,0
10139639,483,-1
10139640,143,0
10139640,483,-1
10139641,143,0
10139641,483,-1
10068346,238,0
10068346,290,-1
10068369,238,0
10068369,531,-1
10069165,238,0
10069165,449,-1
10069371,252,0
10069371,291,-1
10070945,252,0
10070945,287,-1
10070947,252,0
10070947,305,-1
10071853,252,0
10071853,287,-1
10072085,252,0
10072085,158,-1
10072086,252,0
10072086,158,-1
10072087,252,0
10072087,287,-1
10072177,252,0
10072177,449,-1
10072480,252,0
10072480,353,-1
10074610,158,0
10074610,513,-1
10074611,158,0
10074611,513,-1
10074774,305,0
10074774,105,-1
10074775,305,0
10074775,105,-1
10074910,305,0
10074910,337,-1
10075588,32,0
10075588,531,-1
10075604,314,0
10075604,337,-1
10077703,328,0
10077703,291,-1
10078227,328,0
10078227,337,-1
10079469,115,0
10079469,143,-1
10079630,115,0
10079630,66,-1
10079631,115,0
10079631,66,-1
10079645,115,0
10079645,513,-1
10080465,116,0
10080465,252,-1
10080680,116,0
10080680,287,-1
10081357,116,0
10081357,513,-1
10081358,116,0
10081358,513,-1
10081515,116,0
10081515,531,-1
10081873,116,0
10081873,178,-1
10082102,32,0
10082102,290,-1
10082266,32,0
10082266,143,-1
10082884,32,0
10082884,449,-1
10082885,32,0
10082885,449,-1
10082886,32,0
10082886,287,-1
10088504,177,0
10088504,287,-1
10088729,177,0
10088729,297,-1
10089081,241,0
10089081,66,-1
10089082,241,0
10089082,66,-1
10092183,289,0
10092183,287,-1
10092393,289,0
10092393,287,-1
10092711,289,0
10092711,32,-1
10092712,289,0
10092712,32,-1
10093192,289,0
10093192,68,-1
10093692,289,0
10093692,513,-1
10093693,289,0
10093693,513,-1
10093694,289,0
10093694,513,-1
10093899,289,0
10093899,310,-1
10094218,289,0
10094218,531,-1
10094236,289,0
10094236,287,-1
10101487,106,0
10101487,513,-1
10101635,337,0
10101635,287,-1
10102086,337,0
10102086,291,-1
10102574,337,0
10102574,32,-1
10102688,106,0
10102688,32,-1
10102901,143,0
10102901,291,-1
10102902,143,0
10102902,291,-1
10102930,143,0
10102930,93,-1
10102931,143,0
10102931,93,-1
10103097,143,0
10103097,313,-1
10103594,143,0
10103594,291,-1
10103595,143,0
10103595,291,-1
10103908,143,0
10103908,241,-1
10103950,143,0
10103950,178,-1
10104385,143,0
10104385,531,-1
10129087,143,0
10129087,106,-1
10129088,143,0
10129088,106,-1
10129089,143,0
10129089,106,-1
10129090,143,0
10129090,106,-1
10129091,143,0
10129091,106,-1
10070515,157,0
10070515,513,-1
10071174,252,0
10071174,310,-1
10072768,252,0
10072768,287,-1
10078090,328,0
10078090,513,-1
10080594,116,0
10080594,287,-1
10104047,143,0
10104047,456,-1
10067390,238,0
10067390,513,-1
10068467,238,0
10068467,241,-1
10068561,238,0
10068561,241,-1
10068689,238,0
10068689,287,-1
10068690,238,0
10068690,287,-1
10069036,238,0
10069036,513,-1
10069066,238,0
10069066,93,-1
10069136,238,0
10069136,146,-1
10070017,252,0
10070017,146,-1
10070890,252,0
10070890,513,-1
10070917,252,0
10070917,310,-1
10070981,252,0
10070981,513,-1
10071579,252,0
10071579,531,-1
10071620,252,0
10071620,287,-1
10071728,252,0
10071728,449,-1
10071729,252,0
10071729,449,-1
10073104,252,0
10073104,99,-1
10073464,178,0
10073464,162,-1
10073907,158,0
10073907,531,-1
10074309,305,0
10074309,287,-1
10074860,158,0
10074860,68,-1
10075258,32,0
10075258,531,-1
10075259,32,0
10075259,531,-1
10078014,328,0
10078014,287,-1
10078015,328,0
10078015,287,-1
10079393,117,0
10079393,310,-1
10079429,117,0
10079429,143,-1
10080768,116,0
10080768,449,-1
10080997,116,0
10080997,531,-1
10081594,116,0
10081594,232,-1
10081595,116,0
10081595,232,-1
10082151,32,0
10082151,287,-1
10082152,32,0
10082152,287,-1
10091951,289,0
10091951,143,-1
10092212,289,0
10092212,257,-1
10092597,289,0
10092597,112,-1
10093358,289,0
10093358,310,-1
10093658,289,0
10093658,155,-1
10093659,289,0
10093659,155,-1
10093660,289,0
10093660,155,-1
10093937,289,0
10093937,155,-1
10094001,289,0
10094001,105,-1
10097302,68,0
10097302,297,-1
10101601,337,0
10101601,287,-1
10101602,337,0
10101602,287,-1
10101846,337,0
10101846,287,-1
10101998,106,0
10101998,117,-1
10102226,106,0
10102226,93,-1
10102227,106,0
10102227,93,-1
10103205,143,0
10103205,68,-1
10104665,143,0
10104665,117,-1
10105562,143,0
10105562,513,-1
10105563,143,0
10105563,513,-1
10115552,91,0
10115552,143,-1
10115553,91,0
10115553,143,-1
10135574,287,0
10135574,183,-1
10070274,310,0
10070274,483,-1
10073338,252,0
10073338,287,-1
10076296,297,0
10076296,119,-1
10079979,115,0
10079979,257,-1
10083014,32,0
10083014,93,-1
10083015,32,0
10083015,93,-1
10092562,289,0
10092562,99,-1
10092723,289,0
10092723,117,-1
10103664,143,0
10103664,287,-1
10104019,143,0
10104019,262,-1
10104020,143,0
10104020,262,-1
10104021,143,0
10104021,262,-1
10104049,143,0
10104049,297,-1
10116033,287,0
10116033,531,-1
10068719,238,0
10068719,158,-1
10069364,238,0
10069364,531,-1
10070888,252,0
10070888,180,-1
10074029,158,0
10074029,337,-1
10079182,314,0
10079182,289,-1
10079386,117,0
10079386,483,-1
10080123,115,0
10080123,143,-1
10082744,32,0
10082744,287,-1
10084007,32,0
10084007,158,-1
10084008,32,0
10084008,158,-1
10088599,177,0
10088599,32,-1
10093594,289,0
10093594,337,-1
10093595,289,0
10093595,337,-1
10093707,289,0
10093707,291,-1
10093708,289,0
10093708,291,-1
10071342,252,0
10071342,531,-1
10071868,252,0
10071868,162,-1
10077742,328,0
10077742,158,-1
10079464,117,0
10079464,254,-1
10080338,116,0
10080338,224,-1
10084074,32,0
10084074,313,-1
10084075,32,0
10084075,313,-1
10091939,289,0
10091939,178,-1
10093836,289,0
10093836,143,-1
10101554,106,0
10101554,287,-1
10135360,287,0
10135360,252,-1
10080186,116,0
10080186,112,-1
10083587,32,0
10083587,143,-1
10083588,32,0
10083588,143,-1
10092555,289,0
10092555,32,-1
10093080,289,0
10093080,287,-1
10093567,289,0
10093567,183,-1
10105184,143,0
10105184,68,-1
10105237,143,0
10105237,280,-1
10105238,143,0
10105238,280,-1
10080275,116,0
10080275,178,-1
10067860,310,0
10067860,449,-1
10068428,238,0
10068428,252,-1
10068458,238,0
10068458,32,-1
10070454,157,0
10070454,287,-1
10070455,157,0
10070455,287,-1
10074588,305,0
10074588,449,-1
10077537,328,0
10077537,99,-1
10079592,115,0
10079592,310,-1
10081514,116,0
10081514,143,-1
10091937,289,0
10091937,287,-1
10092632,289,0
10092632,287,-1
10092633,289,0
10092633,287,-1
10103658,143,0
10103658,313,-1
10068837,238,0
10068837,232,-1
10070167,252,0
10070167,232,-1
10070610,310,0
10070610,289,-1
10072638,252,0
10072638,290,-1
10073269,252,0
10073269,287,-1
10081449,116,0
10081449,287,-1
10101444,337,0
10101444,287,-1
10103929,143,0
10103929,105,-1
10103930,143,0
10103930,105,-1
10103931,143,0
10103931,105,-1
10103932,143,0
10103932,105,-1
10104338,143,0
10104338,238,-1
10116129,287,0
10116129,238,-1
10068525,238,0
10068525,337,-1
10101467,337,0
10101467,289,-1
10102730,106,0
10102730,310,-1
10102731,106,0
10102731,310,-1
10071135,252,0
10071135,117,-1
10071240,252,0
10071240,291,-1
10071241,252,0
10071241,291,-1
10079406,117,0
10079406,180,-1
10079510,115,0
10079510,513,-1
10082092,32,0
10082092,483,-1
10083908,32,0
10083908,449,-1
10089110,241,0
10089110,158,-1
10097280,68,0
10097280,117,-1
10102395,337,0
10102395,287,-1
10102621,106,0
10102621,99,-1
10135720,287,0
10135720,262,-1
10135721,287,0
10135721,262,-1
10135722,287,0
10135722,262,-1
10135723,287,0
10135723,262,-1
10135724,287,0
10135724,262,-1
10135815,287,0
10135815,483,-1
10135816,287,0
10135816,483,-1
10135817,287,0
10135817,483,-1
10075671,297,0
10075671,162,-1
10079374,117,0
10079374,143,-1
10079432,117,0
10079432,287,-1
10080454,116,0
10080454,328,-1
10067691,310,0
10067691,305,-1
10071050,252,0
10071050,32,-1
10072756,252,0
10072756,291,-1
10072757,252,0
10072757,291,-1
10074559,178,0
10074559,531,-1
10079011,314,0
10079011,483,-1
10081919,116,0
10081919,32,-1
10081920,116,0
10081920,32,-1
10083509,32,0
10083509,146,-1
10092004,289,0
10092004,117,-1
10092565,289,0
10092565,105,-1
10093139,289,0
10093139,531,-1
10093324,289,0
10093324,531,-1
10094008,289,0
10094008,287,-1
10094009,289,0
10094009,287,-1
10102222,106,0
10102222,105,-1
10135348,287,0
10135348,105,-1
10067848,310,0
10067848,287,-1
10068572,238,0
10068572,180,-1
10071237,252,0
10071237,287,-1
10071664,252,0
10071664,93,-1
10071665,252,0
10071665,93,-1
10071666,252,0
10071666,93,-1
10071813,252,0
10071813,146,-1
10071836,252,0
10071836,254,-1
10075602,32,0
10075602,290,-1
10075603,32,0
10075603,290,-1
10077465,328,0
10077465,162,-1
10077466,328,0
10077466,162,-1
10077467,328,0
10077467,162,-1
10077627,328,0
10077627,287,-1
10077872,328,0
10077872,232,-1
10077873,328,0
10077873,232,-1
10079897,115,0
10079897,531,-1
10080068,115,0
10080068,178,-1
10080328,116,0
10080328,143,-1
10080529,116,0
10080529,287,-1
10080530,116,0
10080530,287,-1
10081349,116,0
10081349,287,-1
10083858,32,0
10083858,93,-1
10083859,32,0
10083859,93,-1
10083918,32,0
10083918,287,-1
10083919,32,0
10083919,287,-1
10084168,32,0
10084168,116,-1
10088978,241,0
10088978,287,-1
10091993,289,0
10091993,143,-1
10092424,289,0
10092424,287,-1
10092906,289,0
10092906,287,-1
10093098,289,0
10093098,297,-1
10093193,289,0
10093193,66,-1
10101493,106,0
10101493,143,-1
10101972,106,0
10101972,162,-1
10102175,106,0
10102175,513,-1
10102265,337,0
10102265,241,-1
10102266,337,0
10102266,241,-1
10104008,143,0
10104008,66,-1
10104045,143,0
10104045,32,-1
10105540,143,0
10105540,337,-1
10105541,143,0
10105541,337,-1
10105666,143,0
10105666,32,-1
10067866,310,0
10067866,289,-1
10068563,238,0
10068563,180,-1
10068893,238,0
10068893,287,-1
10069239,238,0
10069239,105,-1
10070443,310,0
10070443,99,-1
10071091,252,0
10071091,287,-1
10071774,252,0
10071774,146,-1
10071775,252,0
10071775,146,-1
10071776,252,0
10071776,146,-1
10072094,252,0
10072094,287,-1
10073091,252,0
10073091,531,-1
10073607,158,0
10073607,287,-1
10073608,158,0
10073608,287,-1
10074713,305,0
10074713,280,-1
10077767,328,0
10077767,291,-1
10078550,314,0
10078550,287,-1
10079526,115,0
10079526,66,-1
10079527,115,0
10079527,66,-1
10080778,116,0
10080778,287,-1
10081135,116,0
10081135,287,-1
10082044,32,0
10082044,297,-1
10082728,32,0
10082728,93,-1
10082729,32,0
10082729,93,-1
